,combo,target_feature,before_rmse,before_r2,before_mape,after_rmse,after_r2,after_mape,n_worst_trees
17,"(1, 2, 6)",production_rate,1755.6813668790576,-10812.147829143438,1.6112426898478412e+16,762.7432280385403,-4696.694830081859,1.221791990220456e+16,20
18,"(1, 2, 6)",production_rate,1755.6813668790576,-10812.147829143438,1.6112426898478412e+16,610.4535215185175,-3758.750656085672,1.1741044210475638e+16,25
19,"(1, 2, 6)",production_rate,1755.6813668790576,-10812.147829143438,1.6112426898478412e+16,479.56920123067613,-2952.6411133813435,1.1309965398384982e+16,30
20,"(1, 2, 9)",OD,12.519668352582592,-2.1500599043320814,6.851208472915742,11.018670011590848,-1.772395372231939,6.357211501873165,10
21,"(1, 2, 9)",OD,12.519668352582592,-2.1500599043320814,6.851208472915742,10.397056365501845,-1.615991850398494,6.138921967558783,15
22,"(1, 2, 9)",OD,12.519668352582592,-2.1500599043320814,6.851208472915742,9.822623769584066,-1.4714595004046767,5.931480615708888,20
23,"(1, 2, 9)",OD,12.519668352582592,-2.1500599043320814,6.851208472915742,9.28459979237327,-1.3360878826867522,5.734375345989761,25
24,"(1, 2, 9)",OD,12.519668352582592,-2.1500599043320814,6.851208472915742,8.809144751926997,-1.216459165931373,5.5393997243703215,30
25,"(1, 2, 9)",growth_rate,0.127410478985675,-80.20707414611344,40.98518487390996,0.10712266505644384,-67.2763166202834,37.525582649548134,10
26,"(1, 2, 9)",growth_rate,0.127410478985675,-80.20707414611344,40.98518487390996,0.09743914970717817,-61.104375699699794,35.754106092197176,15
27,"(1, 2, 9)",growth_rate,0.127410478985675,-80.20707414611344,40.98518487390996,0.08844795021461749,-55.373693187023854,34.02296807221727,20
28,"(1, 2, 9)",growth_rate,0.127410478985675,-80.20707414611344,40.98518487390996,0.07999249902328591,-49.98447828649352,32.308587173398536,25
29,"(1, 2, 9)",growth_rate,0.127410478985675,-80.20707414611344,40.98518487390996,0.07197003914345561,-44.87123721337232,30.590815558092434,30
30,"(1, 2, 9)",product_titer,4565744.830542183,-3942.8444314324042,5.806933057768407e+18,3289071.0412783143,-2840.0664616994554,4.830889708300505e+18,10
31,"(1, 2, 9)",product_titer,4565744.830542183,-3942.8444314324042,5.806933057768407e+18,2920657.903877258,-2521.8349016073953,4.384372367340195e+18,15
32,"(1, 2, 9)",product_titer,4565744.830542183,-3942.8444314324042,5.806933057768407e+18,2623528.9086071313,-2265.1778660292507,4.0309242961649935e+18,20
33,"(1, 2, 9)",product_titer,4565744.830542183,-3942.8444314324042,5.806933057768407e+18,2250194.518314136,-1942.6953772204326,3.810297954510074e+18,25
34,"(1, 2, 9)",product_titer,4565744.830542183,-3942.8444314324042,5.806933057768407e+18,1949583.8456540322,-1683.0309037551215,3.606277904314347e+18,30
35,"(1, 2, 9)",production_rate,1648.0537164830766,-9143.193385536624,1.2716667346933034e+16,1254.4821809735065,-6959.469520381251,9921759379332990.0,10
36,"(1, 2, 9)",production_rate,1648.0537164830766,-9143.193385536624,1.2716667346933034e+16,1084.0244365775466,-6013.6881036533605,9893252847215962.0,15
37,"(1, 2, 9)",production_rate,1648.0537164830766,-9143.193385536624,1.2716667346933034e+16,984.0995431494673,-5459.256812733191,9112411733986138.0,20
38,"(1, 2, 9)",production_rate,1648.0537164830766,-9143.193385536624,1.2716667346933034e+16,907.522793795631,-5034.372236506189,7346314609498308.0,25
39,"(1, 2, 9)",production_rate,1648.0537164830766,-9143.193385536624,1.2716667346933034e+16,832.3706998528594,-4617.392332594316,6678876707552340.0,30
40,"(1, 2, 11)",OD,26.755815579641485,-1.2488905885868085,9.77313626715177,22.445253848418087,-0.8865775176204007,8.964230026281783,10
41,"(1, 2, 11)",OD,26.755815579641485,-1.2488905885868085,9.77313626715177,20.472028233300396,-0.7207231633852365,8.572155330541797,15
42,"(1, 2, 11)",OD,26.755815579641485,-1.2488905885868085,9.77313626715177,19.02713986937435,-0.5992768246063,8.280948619184478,20
43,"(1, 2, 11)",OD,26.755815579641485,-1.2488905885868085,9.77313626715177,17.708282820827762,-0.4884237207142028,7.941834672320592,25
44,"(1, 2, 11)",OD,26.755815579641485,-1.2488905885868085,9.77313626715177,16.703647595219884,-0.40398171605516864,7.62844931067396,30
45,"(1, 2, 11)",growth_rate,0.026895819984159557,-0.4840889444743468,13.595096481882226,0.024983650311039083,-0.3785770146090899,12.804182092702145,10
46,"(1, 2, 11)",growth_rate,0.026895819984159557,-0.4840889444743468,13.595096481882226,0.024077427878531857,-0.32857241560036954,12.415496294988582,15
47,"(1, 2, 11)",growth_rate,0.026895819984159557,-0.4840889444743468,13.595096481882226,0.02321708484023604,-0.2810994033500538,12.030239639824268,20
48,"(1, 2, 11)",growth_rate,0.026895819984159557,-0.4840889444743468,13.595096481882226,0.022395686712640615,-0.23577533883392254,11.672034226605202,25
49,"(1, 2, 11)",growth_rate,0.026895819984159557,-0.4840889444743468,13.595096481882226,0.02156263212321911,-0.18980808046320874,11.278393298534471,30
50,"(1, 2, 11)",product_titer,2887306.668879225,-273.96485641757596,3.8117931660620196e+18,1971747.9100412612,-186.7740895415877,2.9675114393410944e+18,10
51,"(1, 2, 11)",product_titer,2887306.668879225,-273.96485641757596,3.8117931660620196e+18,1718047.1440152249,-162.6135819463011,2.5925390601653606e+18,15
52,"(1, 2, 11)",product_titer,2887306.668879225,-273.96485641757596,3.8117931660620196e+18,1532377.7529809163,-144.93185869980417,2.365087242823279e+18,20
53,"(1, 2, 11)",product_titer,2887306.668879225,-273.96485641757596,3.8117931660620196e+18,1379283.9546668495,-130.35238408923604,2.31379457201717e+18,25
54,"(1, 2, 11)",product_titer,2887306.668879225,-273.96485641757596,3.8117931660620196e+18,1224282.858257871,-115.59127309328993,2.1872624653586066e+18,30
55,"(1, 2, 11)",production_rate,992.1327579595236,-113.35627154149816,4898736379502075.0,709.3369275502265,-80.76035480188739,4758637650827558.0,10
56,"(1, 2, 11)",production_rate,992.1327579595236,-113.35627154149816,4898736379502075.0,640.3062805635277,-72.8036702270008,4465848765750023.0,15
57,"(1, 2, 11)",production_rate,992.1327579595236,-113.35627154149816,4898736379502075.0,601.2789225826903,-68.30525697434012,4305286738679574.0,20
58,"(1, 2, 11)",production_rate,992.1327579595236,-113.35627154149816,4898736379502075.0,551.7654678981326,-62.59818398089307,4231445174771975.5,25
59,"(1, 2, 11)",production_rate,992.1327579595236,-113.35627154149816,4898736379502075.0,494.6760949970347,-56.01788736510676,4157603610864372.0,30
60,"(1, 2, 12)",OD,19.279811624541647,-1.288514524939906,9.53941076516026,17.342633356760356,-1.05857137562136,8.998991189496234,10
61,"(1, 2, 12)",OD,19.279811624541647,-1.288514524939906,9.53941076516026,16.835668089320393,-0.9983945751022327,8.772907103418278,15
62,"(1, 2, 12)",OD,19.279811624541647,-1.288514524939906,9.53941076516026,16.49388294022422,-0.957824662213681,8.565323982580118,20
63,"(1, 2, 12)",OD,19.279811624541647,-1.288514524939906,9.53941076516026,16.323175978134046,-0.9375617379766803,8.339062288610007,25
64,"(1, 2, 12)",OD,19.279811624541647,-1.288514524939906,9.53941076516026,16.347472712470356,-0.9404457614578263,8.138219910048363,30
65,"(1, 2, 12)",growth_rate,0.0913137843112695,-11.511609082613207,36.16171988400848,0.09111593289799287,-11.484499927538419,36.15602081186513,10
66,"(1, 2, 12)",growth_rate,0.0913137843112695,-11.511609082613207,36.16171988400848,0.09102651611677288,-11.472248241547216,36.15370293555807,15
67,"(1, 2, 12)",growth_rate,0.0913137843112695,-11.511609082613207,36.16171988400848,0.0909443296652571,-11.46098723904898,36.152494965829526,20
68,"(1, 2, 12)",growth_rate,0.0913137843112695,-11.511609082613207,36.16171988400848,0.090871263557644,-11.450975885532769,36.15305729866981,25
69,"(1, 2, 12)",growth_rate,0.0913137843112695,-11.511609082613207,36.16171988400848,0.09079861193241422,-11.44102132345928,36.150031355009794,30
70,"(1, 2, 12)",product_titer,5620083.2837527,-353.0859897102712,5.937072254107342e+18,3988483.840602628,-250.2892028176835,4.85457885985296e+18,10
71,"(1, 2, 12)",product_titer,5620083.2837527,-353.0859897102712,5.937072254107342e+18,3317934.7308951765,-208.0421340159622,4.424562425842777e+18,15
72,"(1, 2, 12)",product_titer,5620083.2837527,-353.0859897102712,5.937072254107342e+18,2900685.426457436,-181.75388783554124,4.006579512378775e+18,20
73,"(1, 2, 12)",product_titer,5620083.2837527,-353.0859897102712,5.937072254107342e+18,2553391.815775896,-159.87310855710416,3.649404704122226e+18,25
74,"(1, 2, 12)",product_titer,5620083.2837527,-353.0859897102712,5.937072254107342e+18,2238493.6620345153,-140.03336263237804,3.4200978215194875e+18,30
75,"(1, 2, 12)",production_rate,1737.2165405164312,-119.18722074037085,3307368598335987.5,1339.8410263901299,-91.6952774395556,2478284655697724.0,10
76,"(1, 2, 12)",production_rate,1737.2165405164312,-119.18722074037085,3307368598335987.5,1230.4263864058998,-84.12555818964354,2445439979951017.5,15
77,"(1, 2, 12)",production_rate,1737.2165405164312,-119.18722074037085,3307368598335987.5,1130.5888764317453,-77.21842107139712,1897642802643066.5,20
78,"(1, 2, 12)",production_rate,1737.2165405164312,-119.18722074037085,3307368598335987.5,1036.5972568747943,-70.71572479607957,1859801978833387.5,25
79,"(1, 2, 12)",production_rate,1737.2165405164312,-119.18722074037085,3307368598335987.5,947.306116152507,-64.53822545166346,1850771721505182.2,30
80,"(1, 2, 15)",OD,22.250664949864255,-9.346647214143564,11.883188467090003,22.75198293876716,-9.579762061945628,11.875032548398472,10
81,"(1, 2, 15)",OD,22.250664949864255,-9.346647214143564,11.883188467090003,23.243372663156027,-9.808260227477431,11.955063251284498,15
82,"(1, 2, 15)",OD,22.250664949864255,-9.346647214143564,11.883188467090003,23.768911304830535,-10.05263777462303,12.052153506495937,20
83,"(1, 2, 15)",OD,22.250664949864255,-9.346647214143564,11.883188467090003,24.699749944899693,-10.4854814241854,12.20837981207386,25
84,"(1, 2, 15)",OD,22.250664949864255,-9.346647214143564,11.883188467090003,25.425063994004617,-10.82275532599733,12.292779764139102,30
85,"(1, 2, 15)",growth_rate,0.14351649719728088,-371.3111290820931,50.07983340027715,0.14162226874125067,-366.39711327919485,49.719791201614896,10
86,"(1, 2, 15)",growth_rate,0.14351649719728088,-371.3111290820931,50.07983340027715,0.14082572667485063,-364.33072034253394,49.55685120904462,15
87,"(1, 2, 15)",growth_rate,0.14351649719728088,-371.3111290820931,50.07983340027715,0.14009789374027543,-362.4425729382509,49.407585018912606,20
88,"(1, 2, 15)",growth_rate,0.14351649719728088,-371.3111290820931,50.07983340027715,0.13939895838986482,-360.62939177407407,49.26408530171879,25
89,"(1, 2, 15)",growth_rate,0.14351649719728088,-371.3111290820931,50.07983340027715,0.1386701534325144,-358.7387227440268,49.11504028265428,30
90,"(1, 2, 15)",product_titer,6352733.5960926125,-5347.161351996299,7.096246662217374e+18,3558615.5917027183,-2994.883596608238,4.957243181899024e+18,10
91,"(1, 2, 15)",product_titer,6352733.5960926125,-5347.161351996299,7.096246662217374e+18,2695344.6319479044,-2268.1236414762957,4.3852765112980736e+18,15
92,"(1, 2, 15)",product_titer,6352733.5960926125,-5347.161351996299,7.096246662217374e+18,2081574.418471119,-1751.410310896518,4.0139128262806595e+18,20
93,"(1, 2, 15)",product_titer,6352733.5960926125,-5347.161351996299,7.096246662217374e+18,1611513.098565492,-1355.6808589746067,3.586146968282382e+18,25
94,"(1, 2, 15)",product_titer,6352733.5960926125,-5347.161351996299,7.096246662217374e+18,1358494.348992945,-1142.6725410078918,3.242633431140361e+18,30
95,"(1, 2, 15)",production_rate,2065.0343600891983,-12717.436402613665,1.7540363911983138e+16,1142.7902474824268,-7037.3841378332145,1.6743588280602534e+16,10
96,"(1, 2, 15)",production_rate,2065.0343600891983,-12717.436402613665,1.7540363911983138e+16,944.1609724063866,-5814.0370344742405,1.5806044236970752e+16,15
97,"(1, 2, 15)",production_rate,2065.0343600891983,-12717.436402613665,1.7540363911983138e+16,770.9050464256759,-4746.963033891303,1.5360623120495836e+16,20
98,"(1, 2, 15)",production_rate,2065.0343600891983,-12717.436402613665,1.7540363911983138e+16,617.541639799373,-3802.4059982492613,1.4914948422960816e+16,25
99,"(1, 2, 15)",production_rate,2065.0343600891983,-12717.436402613665,1.7540363911983138e+16,481.8539050101577,-2966.712482013143,1.356870709925611e+16,30
100,"(1, 2, 20)",OD,18.970656060562387,-6.930198649321281,8.768872630801463,16.723599975233213,-5.990874196021466,8.125246865446385,10
101,"(1, 2, 20)",OD,18.970656060562387,-6.930198649321281,8.768872630801463,15.82070703401261,-5.613442843089274,7.881689379641905,15
102,"(1, 2, 20)",OD,18.970656060562387,-6.930198649321281,8.768872630801463,14.781278308379177,-5.178936189773267,7.583854012522288,20
103,"(1, 2, 20)",OD,18.970656060562387,-6.930198649321281,8.768872630801463,14.172917003762427,-4.924626271298679,7.4441764541705036,25
104,"(1, 2, 20)",OD,18.970656060562387,-6.930198649321281,8.768872630801463,13.900859586016171,-4.810899610509424,7.363115935965592,30
105,"(1, 2, 20)",growth_rate,0.10312018018633862,-158.5406008811302,41.898200957545306,0.09957188733645686,-153.05092104979732,41.17112650821378,10
106,"(1, 2, 20)",growth_rate,0.10312018018633862,-158.5406008811302,41.898200957545306,0.0980331101443524,-150.670228566455,40.82847946912624,15
107,"(1, 2, 20)",growth_rate,0.10312018018633862,-158.5406008811302,41.898200957545306,0.0968093097257752,-148.77684694332774,40.5405067301327,20
108,"(1, 2, 20)",growth_rate,0.10312018018633862,-158.5406008811302,41.898200957545306,0.09559841948003338,-146.903439070517,40.237824203498725,25
109,"(1, 2, 20)",growth_rate,0.10312018018633862,-158.5406008811302,41.898200957545306,0.09459484977324062,-145.3507835790458,39.97019347928162,30
110,"(1, 2, 20)",product_titer,7455828.26748975,-1.906407544447024,7.666845536785559e+18,3982286.7626093775,-0.5523625110126402,5.050680829691707e+18,10
111,"(1, 2, 20)",product_titer,7455828.26748975,-1.906407544447024,7.666845536785559e+18,2786603.4416842186,-0.08626499642002261,3.73229854749649e+18,15
112,"(1, 2, 20)",product_titer,7455828.26748975,-1.906407544447024,7.666845536785559e+18,1980305.4643327957,0.22804354722828024,2.4154137579838556e+18,20
113,"(1, 2, 20)",product_titer,7455828.26748975,-1.906407544447024,7.666845536785559e+18,1560106.6131091139,0.3918441428897548,1.08719182167628e+18,25
114,"(1, 2, 20)",product_titer,7455828.26748975,-1.906407544447024,7.666845536785559e+18,1308046.4655351422,0.4901014374894428,8.924548939194985e+17,30
